매장명,주소,lat,lon
GS25S마곡나루역점,"서울 강서구 마곡중앙로지하 135, 공항철도 마곡나루역 지하 1층 (마곡동 373-14)",37.56579379,126.827646
GS25S마들역점,"서울 노원구 한글비석로530, (7호선마들역내)  (상계9동 647, 상계주공12단지아파트)",37.66626997,127.05935781
GS25S매봉역점,"서울 강남구 남부순환로지하 2744, 매봉역내 333-03호 (도곡동 179-2)",37.48697736,127.04667313
GS25S매헌역점,"서울 서초구 매헌로지하 116, 지하층 매장 2호 (양재동 233-2)",37.46999678,127.03831959
GS25S먹골역점,"서울 중랑구 동일로지하 901, 2001호 (묵동 189-5, 먹골역)",37.61080272,127.07769203
GS25S메트로금호점,"서울 성동구 동호로지하 104, 324-09호 (금호동4가)",37.54810442,127.01587158
GS25S면목역점,"서울 중랑구 겸재로171-5, 면목역 지하1층 GS25 S면목역점 (면목동 120-17)",37.58845356,127.08653938
GS25S반포역점,"서울 서초구 신반포로지하 241, 반포역 상가1054 (잠원동 103)",37.50828009,127.01180246
GS25S보라매역점,서울 영등포구 신풍로113(신길6동 508),37.5001491,126.9188208
GS25S사가정역점,"서울 중랑구 사가정로지하 393, 지하철 7호선 사가정역 (면목동 495)",37.58249603,127.08866148
GS25S상도역점,"서울 동작구 상도로지하 272, 상도역내 지하 1층 (상도1동 702-1)",37.50349659,126.94726246
GS25S상봉역점,"서울 중랑구 망우로297, 상봉역 7호선 지하2층 GS25 S상봉역점 (상봉동 100-9)",37.59676618,127.08601877
GS25S서울역1호점,"서울 용산구 청파로378, 1층 (동자동 43-205, 한국철도공사)",37.55177794,126.97115363
GS25S서울역2호점,"서울 용산구 청파로378, 지하3층 (동자동 43-205, 한국철도공사)",37.55177794,126.97115363
GS25S수락산역점,"서울 노원구 동일로지하 1662, 수락산역 (상계동 1132-9)",37.67732929,127.05530712
GS25S숭실대입구역점,"서울 동작구 상도로지하 378, 7호선 숭실대입구역 내 상가 1001 (상도동)",37.4958073,126.9539861
GS25S신대방삼거리역점,"서울 동작구 상도로지하 76, 7호선 신대방삼거리역 내 상가 1001 (대방동 406-10)",37.49941784,126.9275622
GS25S신풍역점,서울 영등포구 신풍로지하 27 (신길6동 3599),37.50030597,126.90942033
GS25S양재역1호점,서울 서초구 양재동12-1 신분당선양재역내 B1-27,37.48430403,127.03481191
GS25S양재역2호점,"서울 서초구 남부순환로지하 2585, B3-41호  (서초2동 1366-9, 신분당선양재역내)",37.48478782,127.03336966
GS25S어린이대공원역점,"서울 광진구 능동로지하 210, 어린이대공원 역 상가1001 (화양동 164-1, 세종대)",37.54714145,127.07393896
GS25S온수역점,서울 구로구 온수동73 7호선온수역내,37.49516672,126.81730664
GS25S용마산역점,"서울 중랑구 용마산로지하 227, 용마산역 상가1001 (면목동 1316-5)",37.57397791,127.08707849
GS25S이수역점,"서울 동작구 사당로지하 310, 7호선內(사당2동 144-4)",37.48552516,126.98065649
GS25S장승배기역점,"서울 동작구 상도로지하 188, 장승배기 역사 내 (상도동 26-20)",37.50430873,126.94134716
GS25S종합운동장역점,"서울 송파구 올림픽로지하 23, 2호선 종합운동장역 지하상가 4호 (잠실동)",37.51110199,127.07428261
GS25S중계역점,"서울 노원구 동일로지하 1308-1, 중계역 7호선 역사 내 (중계동 503-3)",37.64259225,127.06520874
GS25S중곡역점,"서울 광진구 능동로415-1, 7호 호선중곡역내  (중곡3동 167-1)",37.5662609,127.08422957
GS25S중화역점,서울 중랑구 동일로지하 797 (중화1동 50-3),37.60179053,127.0786187
GS25S천왕역점,"서울 구로구 오리로지하 1154 (오류동 174-5, 7호선 청왕역내)",37.48672149,126.83885598
GS25S청계산역점,"서울 서초구 청계산로지하 179, 청계산입구역 지하1층 GS25 S청계산역점 (신원동 270-25)",37.44843219,127.05480252
GS25S청담역점,"서울 강남구 학동로87길7, (7호선청담역)  (청담동 75-1, 현대아파트)",37.51919311,127.05152372
GS25S태릉입구역점,"서울 노원구 동일로지하 992-1, 717동 1002호 (공릉동 616-4, 태릉입구역)",37.61913524,127.07511968
GS25S하계역점,"서울 노원구 동일로지하 1196, 지하1층 GS25 (하계동 273-5)",37.6352211,127.0685415
GS25S학동역점,"서울 강남구 학동로지하 180 (논현동 279-67, 지하상가)",37.51419073,127.03135035
GS25S홍대역사점,"서울 마포구 양화로지하 160, 홍대입구역(2) 239-108호 (동교동 165)",37.55687792,126.9236607
GS25S홍대입구역점,"서울 마포구 양화로지하 188, B2F R01호 (동교동 190-1)",37.55767392,126.92796148
GS25T타운점,"서울 마포구 마포대로144 (공덕동 252-5, 마포티타운)",37.54694797,126.95367928
GS25YG신사옥점,"서울 마포구 희우정로1길7, 2층 (합정동 397-9)",37.54894881,126.90796507
GS25가든파이브점,"서울 송파구 충민로66(문정2동 634, 가든파이브라이프패션관B1-1028호)",37.47760821,127.12494095
GS25가락금호점,"서울 송파구 송파대로32길15 (가락본동 95-1, 가락금호아파트)",37.49623202,127.11630973
GS25가락명성점,"서울 송파구 송이로23길18, 1층 (가락2동 144-20)",37.49584709,127.125124
GS25가락몰점,"서울 송파구 양재대로932, 1층 1호 (가락동 600, 업무동)",37.49510046,127.1156106
GS25가락미륭점,"서울 송파구 동남로11길12, 1층 (가락동 135-24)",37.49319799,127.12756364
GS25가락본점,"서울 송파구 오금로36길69-14, 1층 (가락동 49-10)",37.49776577,127.12140347
GS25가락센타점,서울 송파구 오금로44가길9 (가락동 170),37.49734243,127.13485513
GS25가락스타점,"서울 송파구 송파대로30길16,  110호(가락본동 98, 두산위브센티움)",37.49456821,127.11914523
GS25가락우정점,"서울 송파구 중대로23길20,  104호(가락본동 8-1, 우정에쉐르)",37.50262801,127.12579134
GS25가락으뜸점,"서울 송파구 오금로36길46, 1층 (가락본동 41, 덕봉빌딩)",37.50007496,127.12294845
GS25가락제일점,서울 송파구 동남로13길50 (가락2동 123-17),37.49402384,127.12470422
GS25가락중대로점,서울 송파구 송이로24길15 (가락동 116-8),37.49280318,127.12292041
GS25가락진흥점,"서울 송파구 양재대로66길44, 1층 (가락본동 35-10, 진흥빌딩)",37.49965175,127.1254189
GS25가락타운점,"서울 송파구 양재대로62길47,  101호(가락본동 76-9)",37.49595918,127.12080263
GS25가리봉사랑점,"서울 구로구 구로동로7길57, 1층 (가리봉동 13-37)",37.48654718,126.88339847
GS25가리봉역점,"서울 금천구 벚꽃로286,  1층 107호(가산동 60-15, 리더스타워)",37.48035526,126.88416901
GS25가산V1점,"서울 금천구 가산디지털1로171, 114호 (가산동 371-41, 가산에스케이브이원센터)",37.48099694,126.88056398
GS25가산대륭점,서울 금천구 가산디지털1로25 (가산동 670),37.46791396,126.88630966
GS25가산두산점,서울 금천구 가산로3길113(독산1동 335-14),37.4718633,126.88947305
GS25가산디폴리스점,"서울 금천구 서부샛길606, 107호 (가산동 543-1, 대성디폴리스지식산업센터)",37.47968438,126.87707858
GS25가산미소점,"서울 금천구 서부샛길528, 1층 103호 (가산동 550-17, 미소지움)",37.47632054,126.87866652
GS25가산백상점,"서울 금천구 디지털로9길65,  102호(가산동 60-17, 드림타워9차)",37.48027648,126.88536867
GS25가산본점,서울 금천구 남부순환로112길15 (가산동 147-25),37.47790722,126.89501406
GS25가산세진점,"서울 금천구 벚꽃로278,  B138호(가산동 60-19, 세진테크노빌)",37.47941303,126.88457874
GS25가산스타점,"서울 금천구 디지털로9길99,  126호(가산동 60-11, 스타밸리)",37.481668,126.88482789
GS25가산에이스점,"서울 금천구 가산디지털2로173, 103호 (가산동 459-23)",37.48316289,126.87712828
GS25가산엘지점,서울 금천구 가산디지털1로51(가산동 327-23),37.47057036,126.88517366
GS25가산태양점,"서울 금천구 시흥대로153길89, 1층 (가산동 149-27)",37.47612066,126.89378541
GS25가산포스트6차점,"서울 금천구 벚꽃로298, 125호 (가산동 50-3, 대륭포스트타워6차)",37.48141621,126.8839271
GS25가산프리미어점,"서울 금천구 가산디지털1로88, 1층 , 103호 (가산동 345-50, IT프리미어타워)",37.47383265,126.88522696
GS25가산하이엔드점,"서울 금천구 가산디지털1로233, 107호 (가산동 481-2, 에이스하이엔드타워9차)",37.48583295,126.87838866
GS25가산하이힐점,서울 금천구 디지털로12길21(가산동 143-44),37.47769695,126.88988419
GS25가양2점,"서울 강서구 허준로47, 상가(가양1동 1461, 가양도시개발공사아파트)",37.57058952,126.84708662
GS25가양7단지점,서울 강서구 허준로209 (가양동 1486),37.56199974,126.86163913
GS25가양8단지점,서울 강서구 허준로176 (가양동 1482),37.56214596,126.85718861
GS25가양글로벌점,"서울 강서구 화곡로72길62, 107호 (가양동 448-11, 가양글로벌퍼스트)",37.56039531,126.85877731
GS25가양더리브점,"서울 강서구 양천로400-12, 1층 105호 (가양동 54-6, 더리브골드타워)",37.56533392,126.84589987
GS25가양데시앙점,"서울 강서구 양천로418, 1층 일부 (등촌동 10-14)",37.5646766,126.84778899
GS25가양메르디앙점,"서울 강서구 양천로516, 103호 (등촌동 720)",37.5598289,126.85704291
GS25가양우성점,"서울 강서구 양천로57길10-20,  상가 104호(가양2동 1480-5, 이스타빌)",37.56260975,126.85298223
GS25가양테크노점,"서울 강서구 화곡로68길15, , 22번지  103호 (등촌동 628-7, 아벨테크노지식산업센터)",37.55946912,126.85524878
GS25가양향교점,"서울 강서구 양천로49길54, 101호 (가양동 194-2, 양천향교지웰에스테이트)",37.57107788,126.84083037
GS25가재울현대점,"서울 서대문구 모래내로15길50, 1층 (남가좌동 197-5)",37.57387085,126.91964639
GS25가좌행복점,"서울 마포구 성암로28, 110호 (성산동 134-2, 가좌역행복주택)",37.56926065,126.91311346
GS25갈월하늘점,서울 용산구 한강대로328 (갈월동 10),37.54754212,126.97208324
GS25갈현대성점,"서울 은평구 갈현로33길14-1, 1층 (갈현동 445-15)",37.62094113,126.9147743
GS25갈현럭키점,"서울 은평구 서오릉로232, 2층 (갈현2동 327-13)",37.61557032,126.90883775
GS25갈현사랑점,"서울 은평구 연서로17길46-1, 1층 우측상가 (갈현동 497-13)",37.61414524,126.91258507
GS25갈현센터점,"서울 은평구 통일로85길5, 1층 (갈현동 394-10)",37.62204382,126.91907422
GS25갈현제일점,"서울 은평구 갈현로265, 1층(갈현1동 433-3)",37.62063841,126.91614936
GS25갈현중앙점,"서울 은평구 통일로89길5, 1층 (갈현1동 413-1)",37.62450309,126.91901595
GS25갈현코어점,"서울 은평구 갈현로121, 1층 (구산동 26-7)",37.60873104,126.9107385
GS25갈현파크점,"서울 은평구 갈현로25길14,  1층 101호 (갈현동 515-18)",37.61751512,126.91356678
GS25갈현포인트점,"서울 은평구 갈현로303 (갈현1동 422-35, 제일은행갈현시장)",37.62387032,126.91682744
GS25갈현하늘점,서울 은평구 갈현로45길26 (갈현동 12-22),37.6275516,126.91640017
GS25갈현행복점,서울 은평구 갈현로37길3(갈현1동 434-22),37.62208132,126.916287
GS25갈현행운점,"서울 은평구 연서로19길8, 1층 (갈현동 463-4)",37.61368849,126.91680525
GS25강남N타워점,"서울 강남구 테헤란로129, 강남N타워 GF층 7호 (역삼동 648-17)",37.49985525,127.03248557
GS25강남YBM점,서울 강남구 강남대로94길9 (역삼동 818-14),37.49947669,127.02807975
GS25강남개포점,"서울 강남구 개포로15길10, 1층 (개포동 1244-14)",37.47919916,127.04530212
GS25강남나누리점,"서울 강남구 언주로147길10, 1층 (논현동 63-19)",37.52001905,127.03336784
GS25강남동원점,"서울 강남구 테헤란로77길7(삼성2동 143-28, 동원빌딩)",37.50690826,127.05446159
GS25강남드림하이점,"서울 강남구 헌릉로569길21-30, 104호 (세곡동 615, 드림하이오피스텔)",37.46633315,127.10057538
GS25강남로데오점,"서울 강남구 압구정로54길16, 1층 (신사동 662-18)",37.52684299,127.03925339
GS25강남메트로점,"서울 강남구 테헤란로101,  A동 10호(역삼1동 821-1, 대우쇼핑타운)",37.49860238,127.02804585
GS25강남본점,"서울 강남구 테헤란로2길8, 1층 (역삼동 825-1)",37.4975896,127.0287036
GS25강남사랑점,서울 강남구 역삼로15길20 (역삼동 749-5),37.4961496,127.03550765
GS25강남상록회관점,서울 강남구 언주로98길25 (역삼동 699-27),37.50489517,127.04392313
GS25강남성심병원점,"서울 영등포구 신길로1, 1층 일부 (대림1동 948-1, 강남성심병원)",37.49333262,126.9085266
GS25강남세곡점,"서울 강남구 밤고개로21길25, 상가동 지상1층 103호, 104호 (자곡동 361)",37.47535526,127.10803093
GS25강남센타점,서울 서초구 강남대로465(서초4동 1303-22),37.50374162,127.02406592
GS25강남쉐르빌점,"서울 강남구 강남대로328, 111호 (역삼1동 832-3, 강남역쉐르빌오피스텔)",37.49235279,127.03069385
GS25강남시티힐점,"서울 강남구 강남대로98길17, 지하1층 (역삼동 620-9, 시티힐빌딩)",37.50098036,127.02794716
GS25강남신사점,서울 강남구 언주로173길13 (신사동 619-3),37.52802151,127.03240473
GS25강남쌍용점,"서울 강남구 테헤란로4길46,  109호(역삼1동 826-37, 쌍용플래티넘)",37.49525324,127.0305772
GS25강남아트점,"서울 강남구 강남대로102길40, 1층 (역삼동 618-3)",37.50342586,127.02839048
GS25강남에이스타워점,"서울 강남구 자곡로174-10, 1동 107호, 108호  (자곡동 649, 강남에이스타워G9)",37.47260453,127.10294222
GS25강남역삼점,"서울 강남구 봉은사로48길32, 지하1층 2호 (역삼동 690-29)",37.5073942,127.04208155
GS25강남영동점,서울 강남구 논현로149길50(논현1동 5-19),37.51735111,127.02449956
